GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.spiceflow.backend.common.enums,DriverStatus,0,27,0,0,0,5,0,1,0,1
,com.spiceflow.backend.common.enums,LicenseClass,0,21,0,0,0,4,0,1,0,1
,com.spiceflow.backend.receiving.workflow,GoodsReceiptStateMachine,6,48,0,0,1,9,1,2,1,2
,com.spiceflow.backend.sales.collection.workflow,CashCollectionStateMachine,9,35,0,0,2,7,2,2,2,2
,com.spiceflow.backend.common.aspect,TenantFilterAspect,0,24,0,2,0,8,0,3,0,2
,com.spiceflow.backend.sales.loading.workflow,LoadingSheetStateMachine,6,34,0,0,1,7,1,2,1,2
,com.spiceflow.backend.inventory.transfer.adapter,WarehouseTransferPersistenceAdapter,0,225,0,4,0,68,0,5,0,3
,com.spiceflow.backend.dashboard.inventory.repository,InventoryDashboardRepository.SummaryMetrics,0,15,0,0,0,1,0,1,0,1
,com.spiceflow.backend.dashboard.inventory.repository,InventoryDashboardRepository,286,4,38,0,45,1,27,1,8,1
,com.spiceflow.backend.sales.order.workflow.command,CancelRepOrderCommand,0,35,0,2,0,10,0,7,0,6
,com.spiceflow.backend.sales.order.workflow.command,LoadRepOrderCommand,16,28,2,2,3,9,2,6,0,6
,com.spiceflow.backend.sales.order.workflow.command,ApproveRepOrderCommand,16,28,2,2,3,9,2,6,0,6
,com.spiceflow.backend.sales.order.workflow.command,DeliverRepOrderCommand,11,24,1,1,2,8,1,6,0,6
,com.spiceflow.backend.sales.order.workflow.command,SubmitRepOrderCommand,25,77,3,11,4,18,3,10,0,6
,com.spiceflow.backend.sales.entity,Shop,8,0,2,0,3,0,2,0,1,0
,com.spiceflow.backend.purchasing.domain,PurchaseOrderLine,23,38,0,0,8,12,2,6,2,6
,com.spiceflow.backend.purchasing.domain,PurchaseOrderState,0,51,0,0,0,9,0,1,0,1
,com.spiceflow.backend.purchasing.domain,PurchaseOrder,26,348,5,15,3,102,6,31,1,23
,com.spiceflow.backend.purchasing.domain,PurchaseOrderEvent,15,18,0,0,5,1,5,1,5,1
,com.spiceflow.backend.inventory.transfer.entity,WarehouseTransferEntity,0,199,1,3,0,59,1,41,0,40
,com.spiceflow.backend.inventory.transfer.entity,WarehouseTransferLineEntity,6,92,0,0,2,28,2,19,2,19
,com.spiceflow.backend.receiving.adapter,GoodsReceiptPersistenceAdapter,0,237,0,4,0,72,0,5,0,3
,com.spiceflow.backend.inventory.transfer.workflow.command,RequestTransferCommand,18,50,2,6,3,13,2,8,0,6
,com.spiceflow.backend.inventory.transfer.workflow.command,ShipTransferCommand,18,41,2,4,3,11,2,7,0,6
,com.spiceflow.backend.inventory.transfer.workflow.command,ReceiveTransferCommand,11,63,1,5,2,15,1,8,0,6
,com.spiceflow.backend.inventory.transfer.workflow.command,CancelTransferCommand,0,35,0,2,0,10,0,7,0,6
,com.spiceflow.backend.inventory.transfer.workflow.command,ApproveTransferCommand,11,24,1,1,2,8,1,6,0,6
,com.spiceflow.backend.sales.delivery.domain,Delivery,21,413,5,15,6,117,10,33,5,27
,com.spiceflow.backend.sales.delivery.domain,DeliveryEvent,15,38,0,0,5,7,5,1,5,1
,com.spiceflow.backend.sales.delivery.domain,DeliveryShopItemRecord,42,45,7,7,2,8,8,1,1,1
,com.spiceflow.backend.sales.delivery.domain,DeliveryPaymentRecord,19,32,4,4,2,4,5,1,1,1
,com.spiceflow.backend.sales.delivery.domain,DeliveryReturnItemRecord,29,35,6,6,2,6,7,1,1,1
,com.spiceflow.backend.sales.delivery.domain,DeliveryShopRecord,38,82,10,10,0,14,10,2,0,2
,com.spiceflow.backend.sales.delivery.domain,DeliveryState,0,27,0,0,0,5,0,1,0,1
,com.spiceflow.backend.sales.collection.domain,CashCollectionEvent,15,38,0,0,5,7,5,1,5,1
,com.spiceflow.backend.sales.collection.domain,CashCollection,2,388,3,8,1,118,3,32,0,29
,com.spiceflow.backend.sales.collection.domain,CashCollectionState,0,21,0,0,0,4,0,1,0,1
,com.spiceflow.backend.sales.order.domain,RepOrder,11,454,6,16,2,128,7,35,1,28
,com.spiceflow.backend.sales.order.domain,RepOrderShop,3,95,3,9,0,16,3,6,0,3
,com.spiceflow.backend.sales.order.domain,RepOrderState,0,39,0,0,0,7,0,1,0,1
,com.spiceflow.backend.sales.order.domain,ShopReturnItem,11,62,3,3,2,11,3,2,0,2
,com.spiceflow.backend.sales.order.domain,RepOrderItem,23,84,12,12,0,11,12,2,0,2
,com.spiceflow.backend.sales.order.domain,RepOrderEvent,15,38,0,0,5,7,5,1,5,1
,com.spiceflow.backend.sales.order.service,RepOrderWorkflowService,56,240,13,15,5,55,13,10,4,5
,com.spiceflow.backend.sales.loading.service,LoadingSheetWorkflowService,97,295,16,16,15,63,18,10,6,6
,com.spiceflow.backend.purchasing.workflow.command,ApprovePurchaseOrderCommand,0,35,0,2,0,10,0,7,0,6
,com.spiceflow.backend.purchasing.workflow.command,SubmitPurchaseOrderCommand,0,35,0,2,0,10,0,7,0,6
,com.spiceflow.backend.purchasing.workflow.command,ClosePurchaseOrderCommand,6,29,1,1,3,7,3,4,2,4
,com.spiceflow.backend.admin.service,AdminService,597,448,40,6,103,114,49,13,27,12
,com.spiceflow.backend.admin.service,BusinessTypeService,0,162,1,7,0,38,1,12,0,9
